"","completeness_of_data","Rank","Years_in_current_rank","Year_Degree_was_earned","Sex","Highest_Degree","y"
"1",1,3,8,24,1,1,38045
"2",1,3,25,35,0,1,36350
"3",1,3,13,22,0,1,35350
"4",1,3,19,30,0,0,33696
"5",1,3,13,31,0,0,32850
"6",1,3,16,18,0,1,31909
"7",1,3,13,30,0,0,31850
"8",1,3,13,20,0,1,31114
"9",1,3,7,15,0,1,29342
"10",1,3,16,21,0,1,28516
"11",1,3,10,23,0,1,28200
"12",1,3,9,17,0,1,28200
"13",1,3,7,13,0,1,27959
"14",1,3,12,22,0,1,27025
"15",1,3,7,27,1,1,26775
"16",1,2,3,7,0,0,26182
"17",1,3,9,24,0,1,25748
"18",1,3,5,16,1,1,25500
"19",1,3,5,18,0,1,25400
"20",1,3,0,32,1,0,24900
"21",1,2,9,12,0,1,24832
"22",1,2,11,14,0,1,24800
"23",1,2,15,19,0,1,24750
"24",1,2,11,14,0,0,24742
"25",1,3,6,21,0,0,24450
"26",1,2,3,17,0,0,23725
"27",1,1,9,14,0,0,23713
"28",1,2,9,27,0,0,23712
"29",1,2,11,31,0,0,23300
"30",1,2,10,15,0,0,22906
"31",1,2,6,29,1,0,22450
"32",1,1,10,15,1,0,21600
"33",1,2,0,7,0,1,20999
"34",1,2,1,9,0,1,20850
"35",1,2,4,33,1,0,20690
"36",1,2,8,31,0,0,20525
"37",1,1,0,2,1,1,20300
"38",1,1,16,23,0,0,19175
"39",1,1,8,14,1,1,18304
"40",1,1,3,4,0,1,18075
"41",1,1,3,11,0,0,18000
"42",1,1,4,4,0,1,17600
"43",1,1,3,3,1,1,17250
"44",1,1,4,4,0,1,17095
"45",1,1,4,5,0,1,16700
"46",1,1,1,1,1,1,16686
"47",1,1,2,3,0,1,16500
"48",1,1,1,1,0,1,16244
"49",1,1,2,6,1,1,16150
"50",1,1,2,1,0,1,16094
"51",1,1,2,2,1,1,15350
"52",1,1,1,1,1,1,15000
